,time,ecgpoint
517,2024-04-22 15:51:53.439+02,-305
518,2024-04-22 15:51:53.443+02,-301
519,2024-04-22 15:51:53.447+02,-296
520,2024-04-22 15:51:53.451+02,-292
521,2024-04-22 15:51:53.455+02,-292
522,2024-04-22 15:51:53.459+02,-288
523,2024-04-22 15:51:53.463+02,-283
524,2024-04-22 15:51:53.467+02,-280
525,2024-04-22 15:51:53.471+02,-275
526,2024-04-22 15:51:53.475+02,-270
527,2024-04-22 15:51:53.479+02,-268
528,2024-04-22 15:51:53.483+02,-268
529,2024-04-22 15:51:53.487+02,-268
530,2024-04-22 15:51:53.491+02,-268
531,2024-04-22 15:51:53.495+02,-261
532,2024-04-22 15:51:53.499+02,-258
533,2024-04-22 15:51:53.503+02,-253
534,2024-04-22 15:51:53.507+02,-252
535,2024-04-22 15:51:53.511+02,-249
536,2024-04-22 15:51:53.515+02,-245
537,2024-04-22 15:51:53.519+02,-242
538,2024-04-22 15:51:53.523+02,-241
539,2024-04-22 15:51:53.527+02,-238
540,2024-04-22 15:51:53.531+02,-240
541,2024-04-22 15:51:53.535+02,-236
542,2024-04-22 15:51:53.539+02,-235
543,2024-04-22 15:51:53.543+02,-234
544,2024-04-22 15:51:53.547+02,-231
545,2024-04-22 15:51:53.551+02,-229
546,2024-04-22 15:51:53.555+02,-227
547,2024-04-22 15:51:53.559+02,-224
548,2024-04-22 15:51:53.563+02,-225
549,2024-04-22 15:51:53.567+02,-229
550,2024-04-22 15:51:53.571+02,-229
551,2024-04-22 15:51:53.575+02,-226
552,2024-04-22 15:51:53.579+02,-221
553,2024-04-22 15:51:53.583+02,-216
554,2024-04-22 15:51:53.587+02,-214
555,2024-04-22 15:51:53.591+02,-215
556,2024-04-22 15:51:53.595+02,-212
557,2024-04-22 15:51:53.599+02,-208
558,2024-04-22 15:51:53.603+02,-204
559,2024-04-22 15:51:53.607+02,-201
560,2024-04-22 15:51:53.611+02,-199
561,2024-04-22 15:51:53.615+02,-197
562,2024-04-22 15:51:53.619+02,-193
563,2024-04-22 15:51:53.623+02,-190
564,2024-04-22 15:51:53.627+02,-191
565,2024-04-22 15:51:53.631+02,-191
566,2024-04-22 15:51:53.635+02,-193
567,2024-04-22 15:51:53.639+02,-192
568,2024-04-22 15:51:53.643+02,-189
569,2024-04-22 15:51:53.647+02,-188
570,2024-04-22 15:51:53.651+02,-184
571,2024-04-22 15:51:53.655+02,-183
572,2024-04-22 15:51:53.659+02,-178
573,2024-04-22 15:51:53.663+02,-175
574,2024-04-22 15:51:53.667+02,-176
575,2024-04-22 15:51:53.671+02,-179
576,2024-04-22 15:51:53.675+02,-180
577,2024-04-22 15:51:53.679+02,-177
578,2024-04-22 15:51:53.683+02,-170
579,2024-04-22 15:51:53.687+02,-163
580,2024-04-22 15:51:53.691+02,-161
581,2024-04-22 15:51:53.695+02,-163
582,2024-04-22 15:51:53.699+02,-165
583,2024-04-22 15:51:53.703+02,-163
584,2024-04-22 15:51:53.707+02,-155
585,2024-04-22 15:51:53.711+02,-147
586,2024-04-22 15:51:53.715+02,-143
587,2024-04-22 15:51:53.719+02,-144
588,2024-04-22 15:51:53.723+02,-147
589,2024-04-22 15:51:53.727+02,-146
590,2024-04-22 15:51:53.731+02,-146
591,2024-04-22 15:51:53.735+02,-144
592,2024-04-22 15:51:53.739+02,-142
593,2024-04-22 15:51:53.743+02,-142
594,2024-04-22 15:51:53.747+02,-140
595,2024-04-22 15:51:53.751+02,-142
596,2024-04-22 15:51:53.755+02,-143
597,2024-04-22 15:51:53.759+02,-141
598,2024-04-22 15:51:53.763+02,-139
599,2024-04-22 15:51:53.767+02,-133
600,2024-04-22 15:51:53.771+02,-133
601,2024-04-22 15:51:53.775+02,-135
602,2024-04-22 15:51:53.779+02,-137
603,2024-04-22 15:51:53.783+02,-138
604,2024-04-22 15:51:53.787+02,-137
605,2024-04-22 15:51:53.791+02,-134
606,2024-04-22 15:51:53.795+02,-135
607,2024-04-22 15:51:53.799+02,-135
608,2024-04-22 15:51:53.803+02,-133
609,2024-04-22 15:51:53.807+02,-134
610,2024-04-22 15:51:53.811+02,-132
611,2024-04-22 15:51:53.815+02,-133
612,2024-04-22 15:51:53.819+02,-133
613,2024-04-22 15:51:53.823+02,-133
614,2024-04-22 15:51:53.827+02,-129
615,2024-04-22 15:51:53.831+02,-128
616,2024-04-22 15:51:53.835+02,-127
